File ID,No. putative ORFs,fasta_dna_parser Level 3,orf_finder Level 3,fasta_dna_parser Level 2,orf_finder Level 2,No. of sequences,Length of sequences,Total bp
n1_l10,323,0.000503,0.009956,0.0,0.012504,1,10,10
n10_l10,294,0.003026,0.028077,0.015622,0.053851,10,10,100
n100_l10,349,0.006005,0.340543,0.0,0.533636,100,10,1000
n1000_l10,302,0.100017,3.382782,0.133127,5.916263,1000,10,10000
n1_l100,3157,0.0,0.081704,0.000558,0.050129,1,100,100
n10_l100,3092,0.016583,0.366521,0.016654,0.583268,10,100,1000
n100_l100,3241,0.100071,3.463988,0.101673,6.048494,100,100,10000
n1_l1000,30962,0.017432,1.235384,0.013386,0.658719,1,1000,1000
n10_l1000,31269,0.100062,4.676022,0.117585,6.111633,10,1000,10000
n1_l10000,313846,0.11594,73.597415,0.151219,5.898853,1,10000,10000
